1 1:220.00682 2:2.3239486 3:10.025853 4:3.6641455 5:2.6191468 6:-0.55336666 7:3.6593528 8:-0.9654793 9:2.9671352 10:-1.2909756 11:3.9275048 12:-1.7260826 13:3.7742376 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.47675 2:0.7085231 3:10.65138 4:5.0118027 5:4.312379 6:0.5099098 7:3.3122323 8:-1.4670607 9:1.8404242 10:-1.0865512 11:2.6167524 12:-1.976252 13:5.2425036 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.55463 2:-0.122164994 3:8.780449 4:3.3884106 5:3.1338332 6:-0.5693778 7:2.6840527 8:-1.9690263 9:1.545492 10:-2.2518928 11:2.2996998 12:-1.64956 13:3.1195076 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:220.94194 2:0.7061316 3:7.6693463 4:1.4621224 5:2.4709456 6:0.11301457 7:2.1233857 8:-1.5266631 9:3.250168 10:-0.34696028 11:5.9244227 12:-0.8532541 13:4.6226363 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.31151 2:1.3895895 3:6.748778 4:0.81177586 5:1.5513788 6:-1.098418 7:2.8782275 8:-2.2839084 9:1.4650755 10:0.26613766 11:5.3611507 12:-1.443474 13:3.7285628 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:219.32901 2:2.0768147 3:8.3911085 4:3.2120411 5:2.6695077 6:-1.228658 7:2.6181831 8:-1.9071478 9:2.0512745 10:-3.092265 11:2.521297 12:-3.268494 13:3.0186863 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:215.5212 2:0.43547523 3:8.467451 4:3.454282 5:3.0124102 6:-0.83715415 7:3.2756994 8:1.0987018 9:4.4804873 10:-2.0946274 11:1.6170409 12:-3.5847614 13:2.9345534 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.26927 2:0.88581306 3:6.50864 4:0.5782018 5:1.4421151 6:-1.991085 7:3.0766482 8:-1.5816466 9:2.6870737 10:-0.3724424 11:2.5400202 12:-2.6778865 13:2.8461702 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.6766 2:-0.4876242 3:6.065583 4:2.441572 5:2.0233922 6:-2.3897111 7:2.8116086 8:-1.7473886 9:0.78446317 10:-2.002445 11:3.8290665 12:-1.8408686 13:2.7543716 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.43098 2:3.3485527 3:8.946452 4:2.2939312 5:1.3304399 6:-3.4082272 7:1.514195 8:-1.4118927 9:2.0330832 10:-2.6226454 11:1.5246058 12:-1.5704376 13:5.8526416 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:219.04306 2:3.0104473 3:8.269715 4:2.4565673 5:1.0038183 6:-3.4467773 7:2.1877384 8:-1.5101932 9:2.5759377 10:-1.6493547 11:0.49522987 12:-3.6928656 13:4.251645 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.83926 2:3.4501083 3:8.535449 4:2.3786154 5:2.5922556 6:-2.7982917 7:2.9976282 8:-1.0808889 9:2.9650068 10:-1.5624719 11:1.2603917 12:-3.7375863 13:4.210003 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.70486 2:0.74708736 3:6.4177737 4:3.1853755 5:2.005113 6:-2.4161437 7:1.7307183 8:-1.0224481 9:3.5602946 10:-0.8073843 11:3.7364552 12:-2.32684 13:4.527994 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:219.71349 2:2.558146 3:9.047923 4:3.1265512 5:2.6800723 6:-0.27752802 7:4.349148 8:-0.98445153 9:2.9050643 10:-0.81642026 11:3.8937616 12:-1.5825642 13:3.57391 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.51631 2:2.024939 3:8.996498 4:2.6230133 5:3.2678738 6:-0.04135035 7:2.1886127 8:-2.9411376 9:2.4485412 10:-2.3029294 11:4.0841837 12:-0.4857162 13:3.4157324 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.7378 2:3.8612912 3:10.699074 4:2.4988873 5:2.38263 6:-1.4989566 7:2.278128 8:-2.2820184 9:2.5369697 10:-1.7107162 11:3.7431655 12:-1.4365518 13:4.405637 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.97748 2:2.812174 3:8.739854 4:1.7406014 5:1.2793272 6:-3.5427232 7:1.0087799 8:-1.1947888 9:2.80706 10:-2.0704405 11:2.6476521 12:-2.6587894 13:3.4681106 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.12207 2:1.9478251 3:7.67992 4:-0.39008936 5:-0.5167134 6:-1.8961346 7:2.497264 8:-1.8162739 9:1.6720636 10:-2.7146885 11:3.1410391 12:-2.0892463 13:1.4552249 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.96371 2:2.2127645 3:7.4199615 4:0.15933503 5:-0.0027282988 6:-1.4666027 7:1.7425973 8:-3.4260712 9:1.9149678 10:-1.7400719 11:2.922936 12:-2.7922575 13:1.1642832 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.5791 2:2.9804482 3:9.8328905 4:2.655095 5:2.7880564 6:-1.9248593 7:2.2353544 8:-0.7869207 9:3.2471797 10:-3.194527 11:2.6166532 12:-3.1891742 13:2.749137 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.97333 2:2.179384 3:8.628571 4:2.1745598 5:1.1271288 6:-2.1164436 7:1.1287205 8:-2.502979 9:1.5205027 10:-2.0228124 11:3.7173874 12:-1.7031121 13:3.9498725 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:219.23227 2:1.6750358 3:7.867478 4:2.8402517 5:0.9844728 6:-0.43070102 7:3.274576 8:-1.8844168 9:3.4405386 10:-0.71949327 11:3.333826 12:-2.9073448 13:4.5576797 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:216.42894 2:-1.1099591 3:7.818278 4:3.954659 5:3.4500089 6:-0.27444065 7:4.3908873 8:-1.6390486 9:1.542315 10:-2.461132 11:2.434093 12:-2.4283907 13:3.5934713 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:218.30246 2:0.96070176 3:5.4809527 4:3.0756395 5:3.4856489 6:-0.74631995 7:3.0619712 8:-0.42147702 9:3.7406561 10:-2.2849994 11:2.1068635 12:-4.687215 13:3.0159247 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:217.81273 2:0.48211887 3:6.5005198 4:1.1752076 5:2.493375 6:-0.93173873 7:3.383694 8:-0.6364604 9:2.9631436 10:0.035492577 11:3.8525846 12:-1.7937181 13:4.1796427 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:222.2571 2:0.1001318 3:5.073793 4:1.3283677 5:0.5897245 6:-0.25238964 7:5.2575536 8:-1.8829393 9:2.66885 10:-1.2499163 11:2.0931141 12:-2.75014 13:3.2759376 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:231.66891 2:0.84689176 3:6.832367 4:7.432816 5:1.5021285 6:-0.050279174 7:6.7859983 8:-3.4459167 9:5.3309536 10:-1.4232703 11:0.7269466 12:-2.038017 13:4.79184 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:221.97433 2:0.79645574 3:5.170562 4:3.1166883 5:3.4608147 6:-0.65837896 7:4.9595838 8:-0.19566885 9:6.34685 10:-2.1131961 11:1.4704984 12:-2.3815596 13:4.2833633 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:220.22552 2:2.0170045 3:5.8786345 4:0.6819763 5:2.382388 6:-1.5036596 7:2.446279 8:-1.9568485 9:3.9976797 10:-2.2477741 11:0.7988755 12:-1.3757358 13:6.116137 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:219.92052 2:-1.6927958 3:2.9016528 4:-0.0037877685 5:0.96454185 6:-0.8355066 7:2.8050525 8:-0.44167724 9:3.4094982 10:-1.7937059 11:1.7054031 12:-1.3701317 13:5.2065525 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:222.065 2:0.70978755 3:3.9969869 4:1.0955399 5:0.16524519 6:-1.8845656 7:2.010439 8:-3.0664914 9:2.778479 10:-2.0457153 11:1.2235702 12:-0.77097124 13:4.851371 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:226.0332 2:1.5335002 3:6.5331306 4:-0.21651886 5:1.658617 6:0.17765184 7:1.9096824 8:-2.356486 9:4.574254 10:-2.8428073 11:0.5909887 12:-1.5209332 13:4.6390996 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:227.13762 2:3.4633908 3:5.3074794 4:-0.83004785 5:1.6669004 6:-0.44181842 7:1.5972117 8:-0.035351705 9:5.151877 10:-2.6558554 11:3.2680557 12:-2.263106 13:4.6709285 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:235.97954 2:5.47498 3:4.1597633 4:-1.6826348 5:0.560105 6:1.1868422 7:4.897712 8:-2.3411236 9:4.7213655 10:-3.4561443 11:3.7146237 12:-1.3876309 13:5.970821 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:234.81555 2:4.7640295 3:6.7382846 4:1.0746685 5:3.4239943 6:2.4750414 7:8.3206 8:0.13549058 9:6.539009 10:-4.059298 11:2.574237 12:-0.14660162 13:8.413808 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:248.85233 2:9.307023 3:12.747936 4:4.1756353 5:5.034267 6:3.9417253 7:7.5795584 8:-3.1021276 9:10.194627 10:-2.741324 11:4.558781 12:-1.5894608 13:6.2816625 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:282.14667 2:25.693678 3:9.937541 4:-5.055693 5:5.227658 6:2.7326193 7:6.505921 8:-7.145705 9:12.73779 10:-3.139594 11:3.144529 12:-3.4542327 13:10.23885 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:292.26328 2:27.262524 3:9.253842 4:-6.8632684 5:8.28931 6:1.8135742 7:6.9040713 8:-6.957029 9:12.766732 10:-2.2988884 11:3.2114599 12:-3.233103 13:9.666863 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:304.464 2:22.014528 3:8.56903 4:-6.522855 5:8.270358 6:0.91201085 7:5.8413234 8:-5.856941 9:10.73663 10:-1.7750057 11:2.483319 12:-3.0089889 13:8.472621 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:300.1509 2:30.186893 3:5.5020504 4:-6.871555 5:7.123301 6:3.9989567 7:5.1604495 8:-9.966668 9:14.813581 10:-3.0660334 11:1.484654 12:-2.814086 13:10.629765 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:308.21432 2:25.798513 3:6.9499493 4:-6.3561783 5:8.806027 6:2.2124343 7:5.4065585 8:-8.894562 9:13.030126 10:-2.4048939 11:1.8153957 12:-2.4064822 13:9.691832 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:314.63446 2:24.33458 3:7.0604057 4:-7.2218776 5:8.959684 6:1.6796731 7:4.8363385 8:-8.037022 9:12.034515 10:-2.0128975 11:2.1297834 12:-2.7794316 13:9.350719 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:317.50577 2:24.075003 3:7.1186905 4:-6.562779 5:9.603941 6:1.7433054 7:5.046161 8:-8.175256 9:12.173409 10:-1.921807 11:1.5338042 12:-2.9935558 13:10.019834 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:327.206 2:20.188004 3:6.5582957 4:-1.5310333 5:5.4364514 6:3.4720876 7:4.4138494 8:-7.742534 9:10.381396 10:-2.9843168 11:3.3733082 12:-5.830099 13:10.67904 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
1 1:338.07193 2:21.023182 3:8.54993 4:-2.0021188 5:6.2297254 6:1.6284239 7:3.15492 8:-8.581986 9:9.281641 10:-2.7168398 11:3.3739407 12:-6.3118234 13:9.771379 14:97.458305 15:5.8862233 16:1.4361751 17:0.47074133 18:3.5593665 19:1.0491323 20:1.704661 21:-2.091439 22:4.2071815 23:-0.3218262 24:0.8143613 25:-1.9858704 26:2.2402518 
